player_name,entry_date,event,event_date,final_obs_date,duration
TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,2021-06-09,False,,2021-12-31,205.0
TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,2020-03-24,False,,2020-07-21,119.0
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,2020-07-06,False,,2021-12-31,543.0
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,2020-03-23,True,2020-04-29 00:00:00,2020-04-29,37.0
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,2020-03-21,False,,2021-12-31,650.0
TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,2020-06-10,True,2020-06-26 00:00:00,2020-06-26,16.0
TeamA-67961019-dbb5-464b-839e-08e5896c2c42,2020-06-13,False,,2021-06-29,381.0
TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,2020-06-25,False,,2021-12-03,526.0
TeamA-74afe68c-f348-414c-9754-6d6f9df12587,2020-03-20,True,2020-03-22 00:00:00,2020-03-22,2.0
TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-01-29,False,,2021-12-31,702.0
TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,2021-06-10,False,,2021-12-31,204.0
TeamA-7bc0ccd4-dcb0-434f-8954-a9de6e33809a,2021-04-05,True,2021-09-16 00:00:00,2021-09-16,164.0
TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,2021-02-03,False,,2021-12-31,331.0
TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,2020-03-21,False,,2021-12-31,650.0
TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,2020-01-28,True,2020-03-20 00:00:00,2020-03-20,52.0
TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,2020-03-21,True,2020-05-18 00:00:00,2020-05-18,58.0
TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,2021-08-03,False,,2021-12-31,150.0
TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,2020-03-17,False,,2021-09-03,535.0
TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,2020-03-20,False,,2021-12-08,628.0
TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,2020-03-20,False,,2021-12-31,651.0
TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,2020-06-22,False,,2021-12-31,557.0
